,reviewid,genre
385,22359,rock
386,22365,electronic
387,22358,jazz
388,22358,experimental
389,22300,experimental
390,22335,rap
391,22379,metal
392,22360,rock
393,22336,rock
394,22283,
395,22303,electronic
396,22306,rock
397,22396,global
398,22396,pop/r&b
399,22343,rock
400,22305,experimental
401,22238,
402,22350,rock
403,22356,experimental
404,22112,electronic
405,22309,folk/country
406,22345,experimental
407,22255,global
408,22327,experimental
409,22288,rock
410,22364,rap
411,22380,folk/country
412,22355,rock
413,22289,rock
414,22290,electronic
415,22330,folk/country
416,22330,electronic
417,22361,rap
418,22284,rock
419,22354,pop/r&b
420,22351,pop/r&b
421,22363,rap
422,22281,electronic
423,22342,jazz
424,22352,electronic
425,22322,electronic
426,22287,rock
427,22344,rap
428,22286,
429,22212,experimental
430,22353,rap
431,22349,rock
432,22337,
433,21989,rock
434,22282,rock
435,22332,rock
436,22332,electronic
437,22333,experimental
438,22277,experimental
439,22329,rap
440,22338,rock
441,22338,pop/r&b
442,22341,rock
443,22341,experimental
444,22341,electronic
445,22271,jazz
446,22319,rock
447,22319,rap
448,22331,rock
449,22325,electronic
450,22320,rock
451,22320,experimental
452,22296,rap
453,22243,electronic
454,22328,rock
455,22279,folk/country
456,22256,rock
457,22340,rap
458,22251,rock
459,22257,electronic
460,22132,rap
461,22254,rock
462,22252,electronic
463,22260,experimental
464,22321,electronic
465,22280,rap
466,22231,electronic
467,22311,folk/country
468,22295,pop/r&b
469,22285,
470,22249,experimental
471,22258,experimental
472,22211,rap
473,22223,rock
474,22276,
475,22237,electronic
476,22273,pop/r&b
477,22274,rap
478,22241,rock
479,22233,experimental
480,22248,rock
481,22236,electronic
482,22242,rock
483,22239,global
484,22239,jazz
485,22239,rap
486,22174,pop/r&b
487,22267,rap
488,22270,rock
489,22270,experimental
490,22230,experimental
491,22169,rock
492,22246,electronic
493,22272,rock
494,22227,
495,22228,rock
496,22245,rock
497,22210,rap
498,22264,rock
499,22263,rock
500,22265,electronic
501,22261,rap
502,22234,electronic
503,22226,rock
504,22262,
505,22193,pop/r&b
506,22244,rock
507,22217,rock
508,22232,rap
509,22020,rap
510,22215,rock
511,22225,electronic
512,22220,
513,22131,rock
514,22221,rap
515,22247,rock
516,22198,folk/country
517,22214,electronic
518,22185,rock
519,22207,electronic
520,22189,electronic
521,22240,rap
522,22150,rock
523,22197,electronic
524,22213,rock
525,22208,electronic
526,22202,
527,22219,
528,22206,pop/r&b
529,22151,electronic
530,22137,
531,22200,
532,22216,electronic
533,22209,electronic
534,22170,pop/r&b
535,22170,electronic
536,22139,rock
537,22218,rap
538,22182,electronic
539,22203,experimental
540,22044,pop/r&b
541,22186,rock
542,22204,rap
543,22188,jazz
544,22188,experimental
545,22205,metal
546,22191,rap
547,22191,pop/r&b
548,22199,rap
549,22195,electronic
550,22148,electronic
551,22196,rock
552,22196,metal
553,22201,rap
554,22187,folk/country
555,22179,rock
556,22149,rock
557,22152,
558,22192,electronic
559,22165,
560,22163,pop/r&b
561,22143,electronic
562,22183,electronic
563,22178,rock
564,22168,rock
565,22145,experimental
566,22142,metal
567,22184,electronic
568,22162,experimental
569,22107,rock
570,22159,jazz
571,22159,pop/r&b
572,22118,
573,22194,rock
574,22133,metal
575,22173,global
576,22113,experimental
577,22190,electronic
578,22172,global
579,22180,pop/r&b
580,22136,rap
581,22181,folk/country
582,22130,electronic
583,22177,rap
584,22147,rock
585,22147,metal
586,22175,electronic
587,22129,metal
588,22157,rap
589,22128,
590,22160,rap
591,22098,rock
592,22098,metal
593,22167,rap
594,22171,rap
595,21886,pop/r&b
596,22154,rock
597,22166,
598,22043,rap
599,22161,rap
600,22123,rock
601,22144,rock
602,22176,pop/r&b
603,22119,electronic
604,22121,rap
605,22126,
606,22158,rock
607,22158,experimental
608,22158,electronic
609,22156,pop/r&b
610,22135,rap
611,22106,global
612,22140,rock
613,22120,experimental
614,22110,pop/r&b
615,22138,rap
616,22127,metal
617,22109,jazz
618,22117,electronic
619,22125,rock
620,22125,electronic
621,22155,experimental
622,22101,rap
623,22103,experimental
624,22116,rock
625,22124,electronic
626,22087,electronic
627,21924,rock
628,22073,rock
629,22141,rap
630,22062,electronic
631,22108,
632,22075,pop/r&b
633,22111,rock
634,22122,experimental
635,22105,electronic
636,22094,rap
637,22090,electronic
638,22064,
639,22102,experimental
640,22093,experimental
641,22100,electronic
642,22095,rock
643,22114,electronic
644,22057,pop/r&b
645,22097,experimental
646,22088,experimental
647,22099,metal
648,21895,rock
649,21895,global
650,22085,pop/r&b
651,22071,electronic
652,22059,rock
653,22104,pop/r&b
654,22035,pop/r&b
655,22060,pop/r&b
656,22092,folk/country
657,22016,folk/country
658,22026,electronic
659,22065,electronic
660,22091,electronic
661,22086,pop/r&b
662,22086,experimental
663,22015,jazz
664,22015,metal
665,22072,electronic
666,22074,metal
667,22089,rap
668,22027,rock
669,22027,electronic
670,22080,rock
671,22083,pop/r&b
672,21883,pop/r&b
673,22076,experimental
674,22067,rock
675,22084,rock
676,22069,rock
677,22056,rock
678,22054,rock
679,22079,rap
680,22081,rock
681,22063,rock
682,22082,experimental
683,22077,rap
684,22078,electronic
685,22066,
686,22022,experimental
687,22052,pop/r&b
688,22070,
689,22029,pop/r&b
690,22021,rock
691,22030,experimental
692,22013,rock
693,22013,experimental
694,21969,folk/country
695,22001,
696,22055,rock
697,22041,rock
698,22041,metal
699,22068,rock
700,22042,electronic
701,22039,electronic
702,21985,rock
703,22018,rock
704,22018,electronic
705,22058,pop/r&b
706,21968,
707,22053,rock
708,22019,electronic
709,22014,rock
710,22014,electronic
711,22038,jazz
712,22038,experimental
713,22007,jazz
714,22050,rock
715,21719,pop/r&b
716,22012,
717,22032,experimental
718,22049,electronic
719,22048,rock
720,22017,electronic
721,22005,rock
722,21970,rock
723,22036,rap
724,21971,folk/country
725,21979,rock
726,21994,rock
727,21988,rap
728,21984,electronic
729,22000,pop/r&b
730,21992,rock
731,22010,electronic
732,22011,rock
733,22034,
734,21951,electronic
735,22037,rock
736,22024,rock
737,21884,rock
738,22046,rap
739,21982,metal
740,21973,rock
741,21726,rock
742,22033,rock
743,21991,electronic
744,22004,rock
745,22040,pop/r&b
746,21974,rock
747,21974,electronic
748,22008,experimental
749,22006,rock
750,21972,electronic
751,22031,rap
752,21945,rock
753,21995,rock
754,21965,rock
755,21965,electronic
756,21882,experimental
757,22002,jazz
758,21990,electronic
759,21885,experimental
760,21967,electronic
761,21966,rock
762,21966,global
763,21966,experimental
764,21966,electronic
765,21889,metal
766,21964,pop/r&b
767,21980,electronic
768,21946,rock
769,21946,pop/r&b
770,21946,electronic
771,21941,rock
772,21941,electronic
773,21931,rock
774,21953,rock
775,21987,rock
776,21996,electronic
777,21999,rock
778,21998,rap
779,21978,rock
780,21961,rock
781,21961,electronic
782,21722,rock
783,21952,rock
784,21997,
785,21872,rock
786,21954,rock
787,21986,rock
788,21962,rock
789,21962,electronic
790,21938,electronic
791,21654,metal
792,21871,rock
793,21828,rock
794,21959,rock
795,21959,metal
796,21977,rock
797,21981,rap
798,21904,rap
799,21873,folk/country
800,21960,global
801,21890,
802,21913,rap
803,21932,pop/r&b
804,21942,pop/r&b
805,21937,
806,21921,electronic
807,21916,folk/country
808,21976,rap
809,21915,rock
810,21944,rock
811,21723,electronic
812,21958,electronic
813,21975,rock
814,21957,rap
815,21917,rock
816,21943,rock
817,21910,rock
818,21956,folk/country
819,21891,pop/r&b
820,21718,rock
821,21922,pop/r&b
822,21786,electronic
823,21950,electronic
824,21821,jazz
825,21947,electronic
826,21934,experimental
827,21675,rock
828,21940,rap
829,21933,folk/country
830,21949,global
831,21948,rock
832,21955,rock
833,21536,
834,21936,rock
835,21892,pop/r&b
836,21874,electronic
837,21584,experimental
838,21880,rock
839,21896,rock
840,21923,pop/r&b
841,21929,rock
842,21914,folk/country
843,21939,rock
844,21926,electronic
845,21893,experimental
846,21868,rock
847,21920,electronic
848,21864,folk/country
849,21894,rock
850,21935,rock
851,21721,jazz
852,21673,rock
853,21928,rap
854,21898,rock
855,21875,rock
856,21875,folk/country
857,21771,
858,21725,folk/country
859,21912,electronic
860,21865,pop/r&b
861,21802,pop/r&b
862,21676,rock
863,21887,rock
864,21919,electronic
865,21909,rap
866,21700,rock
867,21911,electronic
868,21869,rock
869,21918,jazz
870,21677,rock
871,21818,metal
872,21784,rock
873,21862,rock
874,21901,rock
875,21858,rap
876,21900,pop/r&b
877,21877,rock
878,21899,pop/r&b
879,21785,electronic
880,21724,rock
881,21908,global
882,21879,rap
883,21879,experimental
884,21876,electronic
885,21820,electronic
886,21859,rock
887,21907,rock
888,21888,rock
889,21678,jazz
890,21878,folk/country
891,21906,pop/r&b
892,21861,folk/country
893,21863,rap
894,21852,rock
895,21782,electronic
896,21783,electronic
897,21855,rap
898,21720,rock
899,21817,jazz
900,21701,rock
901,21701,global
902,21701,experimental
903,21701,electronic
904,21854,
905,21856,rock
906,21905,rock
907,21849,rock
908,21860,
909,21645,metal
910,21857,pop/r&b
911,21857,electronic
912,21819,pop/r&b
913,21819,experimental
914,21794,rock
915,21810,
916,21815,
917,21687,rap
918,21804,electronic
919,21853,
920,21851,rock
921,21848,rock
922,21848,electronic
923,21653,
924,21813,rock
925,21813,electronic
926,21903,rap
927,21816,rock
928,21836,rap
929,21835,
930,21850,pop/r&b
931,21801,experimental
932,21845,rock
933,21845,pop/r&b
934,21842,rock
935,21842,pop/r&b
936,21844,rock
937,21844,pop/r&b
938,21846,rock
939,21846,pop/r&b
940,21841,rock
941,21841,pop/r&b
942,21866,rock
943,21866,pop/r&b
944,21843,rock
945,21843,pop/r&b
946,21847,rock
947,21847,pop/r&b
948,21715,rock
949,21839,rap
950,21637,rap
951,21781,experimental
952,21743,experimental
953,21806,rock
954,21806,experimental
955,21834,electronic
956,21825,rap
957,21867,pop/r&b
958,21826,rap
959,21838,rock
960,21837,rap
961,21833,electronic
962,21797,jazz
963,21762,metal
964,21762,experimental
965,21717,rock
966,21814,rock
967,21814,experimental
968,21694,experimental
969,21799,jazz
970,21840,rap
971,21744,rock
972,21714,rock
973,21696,global
974,21696,electronic
975,21832,metal
976,21827,rock
977,21808,rock
978,21807,experimental
979,21792,rock
980,21695,electronic
981,21709,rap
982,21778,electronic
983,21708,
984,21809,
985,21758,folk/country
986,21791,rock
987,21699,experimental
988,21831,experimental
989,21831,electronic
990,21822,rock
991,21822,experimental
992,21800,rock
993,21733,rock
994,21729,rap
995,21824,rap
996,21681,rock
997,21680,experimental
998,21829,rap
999,21636,folk/country
1000,21703,experimental
1001,21698,rock
1002,21749,rock
1003,21749,experimental
1004,21697,rock
1005,21742,rock
1006,21780,electronic
1007,21755,metal
1008,21688,pop/r&b
1009,21812,rap
1010,21716,rock
1011,21732,metal
1012,21732,electronic
1013,21547,rock
1014,21547,metal
1015,21562,experimental
1016,21811,rock
1017,21770,pop/r&b
1018,21752,pop/r&b
1019,21769,rock
1020,21769,electronic
1021,21690,electronic
1022,21679,rock
1023,21803,pop/r&b
1024,21693,
1025,21597,rock
1026,21748,rock
1027,21767,pop/r&b
1028,21594,rock
1029,21704,rock
1030,21635,experimental
1031,21796,rap
1032,21796,experimental
1033,21750,rock
1034,21805,pop/r&b
1035,21587,rock
1036,21775,pop/r&b
1037,21766,electronic
1038,21751,rock
1039,21728,rock
1040,21674,jazz
1041,21756,pop/r&b
1042,21768,rock
1043,21768,electronic
1044,21596,rock
1045,21747,rock
1046,21776,rock
1047,21628,electronic
1048,21627,electronic
1049,21576,electronic
1050,21633,rock
1051,21633,metal
1052,21757,rock
1053,21757,electronic
1054,21765,rock
1055,21779,rock
1056,21741,rap
1057,21626,electronic
1058,21777,rock
1059,21777,pop/r&b
1060,21777,folk/country
1061,21790,rap
1062,21763,pop/r&b
1063,21595,rock
1064,21538,
1065,21537,
1066,21593,rock
1067,21789,rap
1068,21551,electronic
1069,21660,folk/country
1070,21710,pop/r&b
1071,21710,electronic
1072,21764,pop/r&b
1073,21754,electronic
1074,21788,rap
1075,21629,rock
1076,21652,electronic
1077,21686,rock
1078,21761,electronic
1079,21740,rap
1080,21535,jazz
1081,21535,experimental
1082,21746,electronic
1083,21656,electronic
1084,21685,metal
1085,21625,electronic
1086,21702,electronic
1087,21641,experimental
1088,21712,rap
1089,21759,rock
1090,21664,rap
1091,21745,folk/country
1092,21737,experimental
1093,21518,jazz
1094,21683,pop/r&b
1095,21738,electronic
1096,21773,rap
1097,21615,pop/r&b
1098,21707,rap
1099,21550,rock
1100,21730,pop/r&b
1101,21684,metal
1102,21727,rock
1103,21647,pop/r&b
1104,21672,rock
1105,21672,metal
1106,21672,experimental
1107,21739,rock
1108,21614,
1109,21617,rap
1110,21591,folk/country
1111,21591,experimental
1112,21646,experimental
1113,21646,electronic
1114,21692,rock
1115,21650,rock
1116,21640,metal
1117,21590,rock
1118,21736,rap
1119,21605,rock
1120,21670,
1121,21753,experimental
1122,21588,rock
1123,21549,rap
1124,21666,rock
1125,21632,experimental
1126,21606,electronic
1127,21509,electronic
1128,21631,metal
1129,21713,rap
1130,21630,rock
1131,21616,experimental
1132,21731,rock
1133,21668,electronic
1134,21711,global
1135,21711,electronic
1136,21658,rock
1137,21612,experimental
1138,21563,electronic
1139,21667,pop/r&b
1140,21644,rock
1141,21642,rock
1142,21691,rock
1143,21586,rock
1144,21555,electronic
1145,21669,electronic
1146,21546,rock
1147,21655,rock
1148,21665,experimental
1149,21706,rap
1150,21443,rock
1151,21651,rock
1152,21659,electronic
1153,21705,rap
1154,21526,rock
1155,21643,rap
1156,21486,rock
1157,21623,rock
1158,21527,experimental
1159,21603,electronic
1160,21415,rock
1161,21648,rock
1162,21624,experimental
1163,21575,jazz
1164,21682,electronic
1165,21569,experimental
1166,21534,experimental
1167,21613,rock
1168,21561,folk/country
1169,21574,rock
1170,21622,folk/country
1171,21512,electronic
1172,21610,metal
1173,21558,rock
1174,21585,electronic
1175,21583,rock
1176,21582,rap
1177,21661,electronic
1178,21663,rock
1179,21573,electronic
1180,21600,rock
1181,21600,rap
1182,21408,rock
1183,21621,global
1184,21621,electronic
1185,21510,rock
1186,21604,rap
1187,21567,rock
1188,21611,electronic
1189,21639,
1190,21504,rap
1191,21609,rock
1192,21453,rock
1193,21572,electronic
1194,21570,experimental
1195,21412,rock
1196,21544,rap
1197,21619,rock
1198,21435,electronic
1199,21657,rap
1200,21548,pop/r&b
1201,21607,
1202,21560,rock
1203,21608,rap
1204,21620,electronic
1205,21439,pop/r&b
1206,21602,rap
1207,21638,rock
1208,21452,rock
1209,21559,electronic
1210,21601,
1211,21470,rock
1212,21466,pop/r&b
1213,21545,rock
1214,21571,electronic
1215,21339,rock
1216,21339,folk/country
1217,21339,metal
1218,21557,pop/r&b
1219,21523,rock
1220,21414,experimental
1221,21467,experimental
1222,21599,rock
1223,21017,experimental
1224,21568,pop/r&b
1225,21495,rock
1226,21508,rock
1227,21580,electronic
1228,21525,rock
1229,21566,rap
1230,21533,electronic
1231,21564,rock
1232,21333,rock
1233,21333,experimental
1234,21398,global
1235,21398,electronic
1236,21465,rock
1237,21556,global
1238,21581,rap
1239,21542,rap
1240,21543,folk/country
1241,21494,electronic
1242,21419,experimental
1243,21524,rock
1244,21565,rap
1245,21598,rap
1246,21492,rock
1247,21531,rock
1248,21493,electronic
1249,21578,rap
1250,21522,rock
1251,21532,rap
1252,21468,pop/r&b
1253,21577,folk/country
1254,21410,rock
1255,21507,rock
1256,21554,rap
1257,21529,metal
1258,21413,
1259,21579,rap
1260,21511,rock
1261,21530,electronic
1262,21463,jazz
1263,21521,pop/r&b
1264,21514,rock
1265,21520,rap
1266,21485,rock
1267,21515,global
1268,21515,folk/country
1269,21516,electronic
1270,21553,electronic
1271,21409,electronic
1272,21482,rock
1273,21451,rock
1274,21539,electronic
1275,21287,rap
1276,21513,rock
1277,21513,electronic
1278,21552,electronic
1279,21464,electronic
1280,21484,rock
1281,21499,
1282,21502,pop/r&b
1283,21541,rap
1284,21469,pop/r&b
1285,21528,rap
1286,21462,rock
1287,21506,pop/r&b
1288,21483,rock
1289,21498,metal
1290,21519,electronic
1291,21540,pop/r&b
1292,21472,rock
1293,21517,rap
1294,21459,pop/r&b
1295,21437,electronic
1296,21480,rap
1297,21471,rock
1298,21450,electronic
1299,21382,rock
1300,21456,metal
1301,21456,experimental
1302,21481,pop/r&b
1303,21461,folk/country
1304,21479,rock
1305,21433,rock
1306,21489,rock
1307,21384,rock
1308,21449,rock
1309,21335,experimental
1310,21383,rock
1311,21396,
1312,21460,pop/r&b
1313,21310,rock
1314,21407,experimental
1315,21381,
1316,21444,rock
1317,21497,rock
1318,21441,rock
1319,21473,folk/country
1320,21445,rock
1321,21438,rock
1322,21487,rock
1323,21476,rock
1324,21478,rock
1325,21477,rock
1326,21488,rock
1327,21496,rap
1328,21442,pop/r&b
1329,21448,rap
1330,21457,rap
1331,21440,rap
1332,21475,pop/r&b
1333,21380,rock
1334,21417,rock
1335,21400,rock
1336,21458,rock
1337,21434,rock
1338,21406,rock
1339,21406,experimental
1340,21490,rap
1341,21436,rock
1342,21455,folk/country
1343,21428,rock
1344,21345,jazz
1345,21454,rock
1346,21420,experimental
1347,21431,electronic
1348,21402,pop/r&b
1349,21403,rap
1350,21422,metal
1351,21430,pop/r&b
1352,21432,metal
1353,21397,rap
1354,21423,rock
1355,21426,rap
1356,21347,metal
1357,21429,rock
1358,21394,
1359,21388,rock
1360,21421,electronic
1361,21395,metal
1362,21446,rap
1363,21392,rap
1364,21391,electronic
1365,21418,rock
1366,21425,rock
1367,21393,rock
1368,21387,pop/r&b
1369,21399,rock
1370,21405,electronic
1371,21447,
1372,21389,folk/country
1373,21353,rock
1374,21353,pop/r&b
1375,21378,rap
1376,21386,rap
1377,21330,rock
1378,21404,electronic
1379,21332,rock
1380,21355,rap
1381,21370,pop/r&b
1382,21424,rap
1383,21385,global
1384,21351,rock
1385,21351,rap
1386,21377,electronic
1387,21416,
1388,21368,rap
1389,21350,jazz
1390,21369,experimental
1391,21343,rock
1392,21341,rap
1393,21341,pop/r&b
1394,21348,electronic
1395,21338,rock
1396,21337,rap
1397,21328,rock
1398,21349,rap
1399,21331,rock
1400,21352,
1401,21326,rock
1402,21326,electronic
1403,21329,rap
1404,20947,rock
1405,20947,electronic
1406,21342,rock
1407,21296,
1408,21179,metal
1409,21344,rap
1410,21312,rap
1411,21308,rap
1412,21325,rap
1413,21340,pop/r&b
1414,21336,rock
1415,21324,rock
1416,21256,experimental
1417,21327,electronic
1418,21305,
1419,21317,rock
1420,21309,rock
1421,21297,folk/country
1422,21313,electronic
1423,21306,rock
1424,21289,rock
1425,21307,rock
1426,21283,experimental
1427,21280,
1428,21321,rock
1429,21292,rap
1430,21265,electronic
1431,21318,electronic
1432,21322,experimental
1433,21286,metal
1434,21286,experimental
1435,21235,rock
1436,21228,pop/r&b
1437,21263,metal
1438,20996,
1439,21212,electronic
1440,21302,electronic
1441,21259,rock
1442,21281,rap
1443,21293,rap
1444,21319,pop/r&b
1445,21209,rap
1446,21294,electronic
1447,21269,pop/r&b
1448,21304,pop/r&b
1449,21295,rock
1450,21315,rock
1451,21245,rock
1452,21320,rap
1453,21288,electronic
1454,21158,jazz
1455,21301,rock
1456,21270,experimental
1457,21250,folk/country
1458,21208,metal
1459,21279,rock
1460,21169,electronic
1461,21299,electronic
1462,21201,metal
1463,21134,metal
1464,21246,pop/r&b
1465,21275,rock
1466,21240,electronic
1467,21258,electronic
1468,21242,metal
1469,21164,rap
1470,21274,rap
1471,21300,rock
1472,21237,pop/r&b
1473,21233,experimental
1474,21213,global
1475,21189,experimental
1476,21277,electronic
1477,21159,electronic
1478,21239,rap
1479,21231,experimental
1480,21221,electronic
1481,21216,rap
1482,21285,pop/r&b
1483,21241,experimental
1484,21248,pop/r&b
1485,21163,pop/r&b
1486,21135,experimental
1487,21255,rap
1488,21141,rock
1489,20916,rap
1490,21261,rock
1491,21225,electronic
1492,21247,pop/r&b
1493,20588,
1494,21218,rap
1495,21271,pop/r&b
1496,21217,experimental
1497,21266,rock
1498,21273,pop/r&b
1499,21157,rock
1500,21109,rap
1501,21215,rap
1502,21205,experimental
1503,21276,rock
1504,21253,electronic
1505,21254,rock
1506,21272,rap
1507,21203,
1508,21252,pop/r&b
1509,21264,pop/r&b
1510,21267,rock
1511,21267,pop/r&b
1512,21207,metal
1513,21188,rock
1514,21249,metal
1515,21108,experimental
1516,21232,pop/r&b
1517,21232,electronic
1518,21142,rock
1519,21229,electronic
1520,21133,experimental
1521,21214,pop/r&b
1522,21262,rap
1523,21092,rock
1524,21132,rap
1525,21191,rock
1526,21178,rock
1527,21053,rock
1528,21180,electronic
1529,21243,pop/r&b
1530,21260,rock
1531,21220,rock
1532,21124,rock
1533,21177,experimental
1534,21193,rock
1535,21131,experimental
1536,21110,electronic
1537,21139,pop/r&b
1538,21251,rap
1539,21056,experimental
1540,21204,rock
1541,21161,rock
1542,21100,
1543,21162,electronic
1544,21154,rap
1545,21176,rock
1546,21226,rap
1547,21121,rock
1548,21175,rock
1549,21130,experimental
