,reviewid,label
126,22629,blackened recordings
127,22534,tresor
128,22565,legacy
129,22395,three lobed
130,22592,warp
131,22598,matador
132,22628,london london
133,22624,thrill jockey
134,22619,sister polygon
135,22642,columbia
136,22603,rca
137,22594,light in the attic
138,22630,drag city
139,22552,local action
140,22625,castle face
141,22618,warp
142,22602,sacred bones
143,22621,leaving
144,22607,epic
145,22611,carpark
146,22616,knives
147,22617,sumerian
148,22401,dust-to-digital
149,22394,non
150,22394,hospital
151,22457,!k7
152,22501,cantaloupe
153,22612,coke boys
154,22612,epic
155,22612,bad boy
156,22525,round
157,22525,ato
158,22610,virgin
159,22518,cantaloupe
160,22527,sony classical
161,22623,def jam
162,22563,kranky
163,22505,don giovanni
164,22465,northern spy
165,22506,sst
166,22581,milan
167,22519,we are the men
168,22608,editions mego
169,22573,mag mag
170,22609,warp
171,22605,dum shiny
172,22606,quarterstick
173,22502,earmusic
174,22582,rca
175,22604,new funk academy
176,22585,warp
177,22560,sacred bones
178,22589,columbia
179,22589,disruptor
180,22584,in the red
181,22392,light in the attic
182,22347,firehouse 12
183,22571,torn clean
184,22586,def jam
185,22586,yj
186,22587,domino
187,22550,fat possum
188,22550,fresh selects
189,22464,weird world
190,22570,capitol
191,22570,ato
192,22599,rca
193,22599,polo grounds
194,22599,a$ap worldwide
195,22558,joyful noise
196,22415,tiny engines
197,22600,polar
198,22566,music on vinyl
199,22520,cold spring
200,22574,closed sessions
201,22452,ato
202,22588,def jam
203,22588,umg
204,22455,terrible
205,22480,self-released
206,22543,blackest ever black
207,22579,nice life
208,22579,federal prism
209,22579,big deal
210,22576,quiet time
211,22569,stax
212,22556,daptone
213,22575,maybach
214,22554,legacy
215,22554,columbia
216,22528,honest jon's
217,22540,cooking vinyl
218,22540,party smasher inc.
219,22374,universal
220,22562,fat possum
221,22578,island
222,22414,kranky
223,22498,merge
224,22413,dial
225,22572,closed sessions
226,22462,rvng intl.
227,22557,20 buck spin
228,22485,columbia
229,22547,empire
230,22547,mood muzik
231,22537,arts & crafts
232,22441,grapefruit
233,22517,dark entries
234,22523,empire
235,22523,atlantic
236,22523,w.a.v.e. recordings
237,22551,labrador
238,22568,1080p
239,22483,motma
240,22567,rca
241,22567,columbia
242,22567,iso
243,22549,groundup
244,22549,verve
245,22545,atlantic
246,22546,diagonal
247,22526,polyvinyl
248,22526,wichita
249,22529,rough trade
250,22500,mixpak
251,22548,run for cover
252,22524,interscope
253,22524,streamline
254,22324,
255,22442,uovooo
256,22516,pi
257,22514,columbia
258,22514,sony
259,22542,self-released
260,22454,what's your rupture?
261,22436,thrill jockey
262,22377,triple crown
263,22291,sire
264,22378,rca
265,22541,american laundromat
266,22503,nuclear blast
267,22479,drag city
268,22479,god?
269,22522,atlantic
270,22515,mute
271,22530,sister polygon
272,22507,self-released
273,22521,rca
274,22512,tri angle
275,22508,mom & pop
276,22509,driftless
277,22463,mexican summer
278,22513,interscope
279,22412,xl
280,22504,profound lore
281,22389,stones throw
282,22499,sire
283,22495,peaceville
284,22461,ndagga
285,22494,jajulin
286,22440,paradise of bachelors
287,22496,temporary residence
288,22497,cuneiform
289,22458,bayonet
290,22308,reprise
291,22390,kompakt
292,22511,atlantic
293,22511,nice life
294,22493,cititrax
295,22339,drag city
296,22490,italians do it better
297,22404,light in the attic
298,22372,strut
299,22411,polydor
300,22348,omnivore
301,22391,customs
302,22410,aus
303,22492,sargent house
304,22488,nonesuch
305,22477,epitaph
306,22489,harvest
307,22438,hyperdub
308,22323,merge
309,22307,blue note
310,22486,so way out tha innerprize
311,22478,tommy boy
312,22474,reprise
313,22450,sub pop
314,22450,rocket
315,22449,woodsist
316,22460,relapse
317,22439,metal blade
318,22253,a&m
319,22318,big brother
320,22445,asthmatic kitty
321,22484,roc nation
322,22466,nuclear blast
323,22429,self-released
324,22451,jemp
325,22471,republic
326,22470,history always favours the winners
327,22437,play it again sam
328,22437,pixiesmusic
329,22475,kttf
330,22476,neurot
331,22472,pan
332,22482,saint
333,22482,columbia
334,22376,vagrant
335,22459,smalltown supersound
336,22375,telephone explosion
337,22314,sacred bones
338,22362,vhf
339,22435,cumbancha
340,22373,deathwish
341,22447,aaron abernathy music
342,22468,warp
343,22446,self-released
344,22299,new amsterdam
345,22434,faitiche
346,22292,matador
347,22368,columbia legacy
348,22430,relapse
349,22346,ecm
350,22388,unseen worlds
351,22420,jagjaguwar
352,22298,planet mu
353,22304,editions mego
354,22425,angry love productions
355,22425,dais records
356,22444,other people
357,22426,rough trade
358,22424,don giovanni
359,22315,numero group
360,22431,cinematic
361,22431,free nation
362,22443,atlantic
363,22432,partisan
364,22427,sub pop
365,22423,nonesuch
366,22387,ninja tune
367,22146,entertainment one
368,22386,paradise of bachelors
369,22416,weird world
370,22416,domino
371,22134,warner bros.
372,22422,4ad
373,22370,polyvinyl
374,22400,interscope
375,22400,island
376,22045,motown
377,22419,total treble
378,22428,cuss
379,22406,dfa
380,22369,leaving
381,22313,glassnote
382,22405,loma vista
383,22302,smalltown supersound
384,22399,dogfood
385,22399,!k7
386,22409,columbia
387,22421,zef
388,22385,salinas
389,22384,radicalized
390,22418,rca
391,22326,profound lore
392,22366,mello music group
393,22367,nonesuch
394,22402,atlantic
395,22402,rhino
396,22382,tompkins square
397,22383,thrill jockey
398,22408,alter
399,22408,posh isolation
400,22407,jagjaguwar
401,22312,blue note
402,22381,stones throw
403,22357,relapse
404,22061,island
405,22293,warner bros.
406,22310,frozen reeds
407,22398,milan
408,22403,fresh in the flesh
409,22397,sinderlyn
410,22359,epitaph
411,22365,magic theatre music
412,22358,northern spy
413,22300,rvng intl.
414,22335,lex
415,22379,thrill jockey
416,22360,drag city
417,22336,bad seed ltd.
418,22283,mg.art
419,22303,shitkatapult
420,22306,control group
421,22396,interscope
422,22343,reprise
423,22305,deutsche grammophon
424,22238,goma gringa
425,22350,third man
426,22356,infrequent seams
427,22112,interdimensional transmissions
428,22309,fat possum
429,22345,ecm new series
430,22255,philips
431,22327,death waltz
432,22288,ato
433,22364,warner bros.
434,22380,orindal
435,22355,dbpm
436,22289,anti-
437,22289,red floor
438,22290,weird world
439,22330,caroline
440,22361,epic
441,22284,don giovanni
442,22354,interscope
443,22354,school boy
444,22351,no world
445,22363,top dawg
446,22281,temporary residence
447,22342,stretch
448,22342,concord music group
449,22352,warp
450,22322,hyperdub
451,22287,merge
452,22344,sub pop
453,22344,deathbomb arc
454,22286,orchid tapes
455,22212,cbs
456,22212,columbia
457,22353,"a.o.i., llc"
458,22349,bloodshot
459,22337,goner
460,21989,cooking vinyl
461,22282,jagjaguwar
462,22332,city slang
463,22333,tri angle
464,22277,temporary residence
465,22329,atlantic
466,22329,300 entertainment
467,22338,npg
468,22341,bella union
469,22341,sacred bones
470,22271,be with
471,22319,caroline
472,22331,omnivore
473,22325,just music
474,22320,ba da bing!
475,22296,def jam
476,22296,blacksmith
477,22296,artium
478,22243,casablanca
479,22243,fiction
480,22328,domino
481,22279,paradise of bachelors
482,22256,anti-
483,22340,self-released
484,22251,profound lore
485,22257,domino
486,22132,mca
487,22254,polyvinyl
488,22252,studio barnhus
489,22260,artoffact
490,22321,love justice sarl/justice sarl
491,22280,mello music group
492,22231,uno
493,22311,thirty tigers
494,22295,self-released
495,22285,self-released
496,22249,erased tapes
497,22258,new amsterdam
498,22258,nna tapes
499,22211,interscope
500,22223,arts & crafts
501,22276,self-released
502,22237,world famous
503,22273,daptone
504,22274,self-released
505,22241,stones throw
506,22233,thrill jockey
507,22248,4ad
508,22236,scissor tail
509,22242,sub pop
510,22239,pi
511,22174,motown
512,22267,iron works
513,22270,sacred bones
514,22230,geographic north
515,22169,i own you
516,22169,upset the rhythm
517,22246,teklife
518,22272,goofin'
519,22227,orchid tapes
520,22228,fat possum
521,22245,warp
522,22210,rhymesayers
523,22264,triple b
524,22263,kanine
525,22265,lakeshore
526,22261,self-released
527,22234,endless xclusive
528,22226,secretly canadian
529,22262,rca
530,22193,warner bros.
531,22193,ovo sound
532,22244,mexican summer
533,22217,self-released
534,22232,mello music group
535,22020,interscope
536,22020,ear drummer
537,22215,moshi moshi
538,22225,greco-roman
539,22225,city slang
540,22220,better days
541,22131,too pure
542,22221,self-released
543,22247,flying nun
544,22198,dead oceans
545,22214,a-ton
546,22185,castle face
547,22207,carpark
548,22189,dfa
549,22240,self-released
550,22150,polyvinyl
551,22197,interscope
552,22213,rca
553,22213,legacy
554,22208,die orakel
555,22202,mass appeal
556,22219,intercoastal artists
557,22206,astro nautico
558,22151,joy void
559,22137,atlantic
560,22200,famous class
561,22216,columbia
562,22209,ghostly international
563,22170,ghostly international
564,22139,domino
565,22218,self-released
566,22182,music from memory
567,22203,orange mountain
568,22044,epic
569,22186,sub pop
570,22204,cam & china
571,22188,blue note
572,22205,nordvis
573,22205,bindrune
574,22191,epic
575,22199,1-800 dinosaur
576,22195,trunk
577,22148,erased tapes
578,22196,epitaph
579,22201,self-released
580,22187,gndwire
581,22179,lauren
582,22149,jagjaguwar
583,22152,l.a. club resource
584,22192,esp institute
585,22165,sacred bones
586,22163,rca
587,22163,little tokyo
588,22143,dim mak
589,22183,growing bin
590,22178,polyvinyl
591,22168,merge
592,22145,technicolour
593,22142,nuclear blast
594,22184,exit
595,22162,thrill jockey
596,22107,warner bros.
597,22159,philips
598,22118,efficient space
599,22194,topshelf
600,22133,profound lore
601,22173,mais um discos
602,22113,khannibalism
603,22113,ernest jenning
604,22190,hw&w
605,22190,ultra
606,22172,stones throw
607,22180,self-released
608,22136,def jam
609,22181,cn records
610,22130,physical editions
611,22177,quality control
612,22147,sargent house
613,22175,technicolour
614,22129,metal blade
615,22157,atlantic
616,22128,burger
617,22160,300 entertainment
618,22098,joyful noise
619,22167,doggy style
620,22167,entertainment one
621,22171,coalmine
622,21886,polydor
623,22154,american bushmen
624,22166,sound signature
625,22043,tommy boy
626,22161,slaughter gang
627,22123,sacred bones
628,22144,partisan
629,22176,the leaf label
630,22119,pluto
631,22119,luaka bop
632,22121,deep entertainment
633,22126,gqom oh!
634,22158,sub rosa
635,22156,closed sessions
636,22135,interscope
637,22106,nu-roots
638,22140,alcopop!
639,22140,lame-o
640,22120,130701
641,22110,true panther
642,22138,
643,22127,the flenser
644,22109,innovative leisure
645,22117,last gang
646,22125,chunklet
647,22155,fragile
648,22101,columbia
649,22103,break world
650,22116,poison city
651,22124,honest jon's
652,22087,planet mu
653,21924,warner bros.
654,22073,hardly art
655,22141,self-released
656,22062,international feel
657,22108,130701
658,22075,polydor
659,22111,light in the attic
660,22122,ylylcyn
661,22105,!k7
662,22094,top dawg
663,22094,interscope
664,22090,warp
665,22064,wharf cat
666,22064,spunk
667,22064,faux discx
668,22102,temporary residence
669,22093,self-released
670,22100,feedelity
671,22095,dirtnap
672,22095,fortuna pop!
673,22114,brunette editions
674,22057,columbia
675,22097,true panther
676,22088,dfa
677,22099,rise
678,21895,staubgold
679,22085,play it again sam
680,22071,araabmuzik label group
681,22059,in the red
682,22104,ovo sound
683,22035,columbia
684,22035,ruffhouse
685,22060,because music
686,22092,third man
687,22016,chaos kitchen
688,22026,apron
689,22065,xl
690,22065,emi
691,22065,astralwerks
692,22065,modular
693,22091,glydezone
694,22086,erased tapes
695,22015,roadrunner
696,22072,warp
697,22074,relapse
698,22089,entertainment one
699,22027,culvert music
700,22080,viking wizard eyes
701,22083,rca
702,21883,buzz
703,22076,cinedelic
704,22067,parlophone
705,22084,mute
706,22069,don giovanni
707,22056,melodic
708,22054,island
709,22079,g.o.o.d. music
710,22081,loves way
711,22063,tiny engines
712,22082,leaving
713,22077,free bandz
714,22078,break world
715,22066,manifesto
716,22022,room40
717,22052,domino
718,22070,river tiber
719,22029,transgressive
720,22021,dischord
721,22030,editions mego
722,22013,polyvinyl
723,21969,double double whammy
724,22001,don giovanni
725,22055,columbia
726,22041,debemur morti
727,22068,cinematic
728,22042,trip
729,22039,superior viaduct
730,21985,republic
731,22018,phlex
732,22058,cascine
733,21968,mint
734,22053,reprise
735,22019,mass appeal
736,22014,island
737,22014,umg
738,22038,modern harmonic
739,22007,nonesuch
740,22050,total negativity
741,22050,nervous nelly
742,21719,rca
743,21719,sony
744,22012,telephone explosion
745,22012,felte
746,22032,joyful noise
747,22049,island
748,22048,merge
749,22017,twosyllable
750,22005,sub pop
751,21970,dead oceans
752,22036,self-released
753,21971,tompkins square
754,21979,magic bullet
755,21994,young god
756,21988,def jam
757,21984,olsen
758,22000,rca
759,22000,bystorm
760,21992,warner bros.
761,22010,mixpak
762,22011,merge
763,22034,hospital productions
764,21951,kompakt
765,22037,apple
766,22024,anti-
767,21884,fat possum
768,22046,dollaz n dealz
769,21982,nuclear blast
770,21973,reprise
771,21726,virgin emi
772,21726,island
773,22033,superior viaduct
774,21991,!k7
775,22004,sony
776,22040,safehouse
777,22040,island
778,21974,gloriette
779,22008,superior viaduct
780,22008,w.25th
781,22006,merge
782,21972,smalltown supersound
783,22031,empire
784,22031,mozzy records
785,21945,infinity cat
786,21995,interscope
787,21965,glassnote
788,21882,thrill jockey
789,22002,firehouse 12
790,21990,aircheology
791,21990,parlophone
792,21885,proibito
793,21967,warp
794,21966,gronland
795,21889,thrill jockey
796,21964,emi
797,21980,lefse
798,21946,moshi moshi
799,21941,polyvinyl
800,21931,kanine
801,21953,stunvolume
802,21987,carpark
803,21996,m-plant
804,21999,ato
805,21998,roc nation
806,21978,concord
807,21961,ingrid
808,21722,future days
809,21952,warner bros.
810,21997,mojo
811,21872,captured tracks
812,21954,anti-
813,21986,cult
814,21962,domino
815,21938,r&s
816,21654,numero group
817,21871,secretly canadian
818,21828,saddle creek
819,21959,ipecac
820,21977,jagjaguwar
821,21981,self-released
822,21904,ne'astra music group
823,21873,matador
824,21960,yep roc
825,21890,relapse
826,21913,self-released
827,21932,epic
828,21942,!k7
829,21937,leaving
830,21921,mom & pop
831,21921,transgressive
832,21921,future classic
833,21916,merge
834,21976,zef
835,21915,creep
836,21944,caldo verde
837,21723,innovative leisure
838,21958,hotflush
839,21975,goner
840,21957,bread winners' association
841,21917,anti-
842,21943,fat possum
843,21910,pop wig
844,21956,new west
845,21891,sub pop
846,21718,sideonedummy
847,21718,royal mountain
848,21922,one little indian
849,21786,hippie dance
850,21950,warp
851,21821,legacy
852,21821,columbia
853,21821,blue note
854,21947,innovative leisure
855,21934,soul jazz
856,21675,tiny engines
857,21940,self-released
858,21933,omnivore
859,21949,fpe
860,21948,wolf parade productions
861,21955,manqu
862,21536,now again
863,21936,tri angle
864,21892,republic
865,21874,city slang
866,21584,superior viaduct
867,21880,topshelf
868,21896,parlophone
869,21923,fade to mind
870,21929,votiv
871,21914,paradise of bachelors
872,21939,columbia
873,21926,rough trade
874,21893,foom
875,21868,partisan
876,21920,dial
877,21864,sacred bones
878,21894,cooking vinyl
879,21935,canvasback / atlantic
880,21721,ecm
881,21673,matador
882,21928,self-released
883,21898,vice
884,21875,rado
885,21771,4ad
886,21725,mom & pop
887,21912,mexican summer
888,21865,wichita
889,21802,hyperdub
890,21676,relapse
891,21887,merge
892,21919,dfa
893,21909,
894,21700,kill rock stars
895,21911,brainfeeder
896,21869,club ac30
897,21918,prestige
898,21677,run for cover
899,21818,roadrunner
900,21784,sub pop
901,21862,daps
902,21901,pax-am
903,21858,boy better know
904,21900,virgin
905,21877,stolen recordings
906,21899,xl
907,21785,warp
908,21724,grand jury
909,21908,big crown
910,21879,harvest
911,21876,columbia
912,21820,editions mego
913,21859,fat possum
914,21907,xl
915,21888,mute
916,21678,decca
917,21678,blue note
918,21878,lambent light
919,21906,universal
920,21861,merge
921,21863,stones throw
922,21852,totally gross national product
923,21782,dead oceans
924,21783,asthmatic kitty
925,21855,fool's gold
926,21720,captured tracks
927,21817,ecm
928,21701,bureau b
929,21854,parlophone
930,21856,double feature
931,21905,good cheer
932,21849,domino
933,21860,cherry red
934,21645,earache
935,21857,masters of bates
936,21819,secretly canadian
937,21819,rough trade
938,21794,run for cover
939,21810,greensleeves
940,21815,lame-o
941,21687,rhymesayers
942,21804,stones throw
943,21853,ato
944,21851,last gang
945,21848,rinse
946,21848,virgin emi
947,21653,cherry red
948,21813,dfa
949,21903,joyful noise
950,21816,4ad
951,21836,cash money
952,21836,young money entertainment
953,21835,pampa
954,21850,self-released
955,21801,cantaloupe
956,21845,paisley park
957,21842,warner bros.
958,21844,paisley park
959,21846,warner bros.
960,21846,paisley park
961,21841,warner bros.
962,21866,warner bros.
963,21843,warner bros.
964,21847,warner bros.
965,21847,paisley park
966,21715,pinkflag
967,21839,self-released
968,21637,profound lore
969,21781,northern spy
970,21743,warp
971,21806,new amsterdam
972,21834,susannasonata
973,21825,interscope
974,21825,hs87
975,21867,columbia
976,21867,parkwood
977,21826,rca
978,21838,sub pop
979,21837,anticon
980,21833,modern love
981,21797,jackpot records
982,21762,century media
983,21717,sub pop
984,21814,easy sound
985,21694,sacred bones
986,21799,resonance
987,21840,empire
988,21840,blake enterprises
989,21840,"diamond lane music group, inc."
990,21744,secret city
991,21714,fat possum
992,21696,crammed discs
993,21832,party smasher inc.
994,21827,topshelf
995,21808,rockathon
996,21807,audika
997,21792,manifesto
998,21695,mule musiq
999,21709,mass appeal
1000,21709,payjay
1001,21778,leaving
1002,21708,dust-to-digital
1003,21809,beats in space
1004,21758,atlantic
1005,21791,edamame
1006,21699,other people
1007,21831,self-released
1008,21822,my animal home
1009,21800,sub pop
1010,21733,dead oceans
1011,21729,mello music group
1012,21824,brainbandits
1013,21824,bad habit
1014,21681,dead oceans
1015,21680,52hz
1016,21829,bad half entertainment
1017,21636,drag city
1018,21703,arjunamusic
1019,21698,island
1020,21749,polyvinyl / bella union
1021,21697,double double whammy
1022,21742,unmade road
1023,21742,caroline
1024,21780,peder mannerfelt produktion
1025,21755,self-released
1026,21688,universal
1027,21812,closed sessions
1028,21716,carpark
1029,21716,buzz
1030,21732,dais records
1031,21547,warner bros.
1032,21562,western vinyl
1033,21811,triple crown
1034,21770,mind of a genius
1035,21752,captured tracks
1036,21769,mute
1037,21690,teklife
1038,21679,canvasback / atlantic
1039,21803,atlantic
1040,21693,partisan
1041,21597,rough trade
1042,21748,rock action
1043,21748,temporary residence
1044,21767,sounds of crenshaw
1045,21767,ropeadope
1046,21594,hardly art
1047,21704,anthology recordings
1048,21635,4ad
1049,21635,paper bag
1050,21796,third worlds
1051,21750,woodsist
1052,21805,def jam
1053,21587,drag city
1054,21587,domino
1055,21775,artbus records
1056,21766,ninja tune
1057,21751,loma vista
1058,21728,run for cover
1059,21674,pi recordings
1060,21756,warner bros.
1061,21756,ovo sound
1062,21768,mute
1063,21596,domino
1064,21747,30th century
1065,21747,columbia
1066,21776,merge
1067,21628,kompakt
1068,21627,running back
1069,21576,x2
1070,21633,relapse
1071,21757,ghostly international
1072,21765,bayonet
1073,21779,merge
1074,21741,computer ugly
1075,21626,on-u sound
1076,21777,thrill jockey
1077,21790,self-released
1078,21763,daptone
1079,21763,dunham
1080,21595,jagjaguwar
1081,21538,sub pop
1082,21537,tapete
1083,21593,crush
1084,21789,atlantic
1085,21551,warp
1086,21660,barsuk
1087,21660,city slang
1088,21710,record company ten
1089,21710,kemosabe
1090,21764,rca
1091,21754,mute
1092,21754,monkeytown
1093,21788,self-released
1094,21629,yellow k
1095,21652,milan
1096,21686,temporary residence
1097,21761,rj's electrical connections
1098,21740,odd future
1099,21535,firehouse 12
1100,21746,felte
1101,21656,emi
1102,21685,profound lore
1103,21625,lustwerk music
1104,21702,hyperdub
1105,21641,editions mego
1106,21712,self-released
1107,21759,saddle creek
1108,21664,awful
1109,21745,third man
1110,21737,young turks
1111,21518,ecm
1112,21683,vroom vroom recordings
1113,21738,luckyme
1114,21773,self-released
1115,21615,ghostly
1116,21707,warner bros.
1117,21550,the orchard
1118,21550,c'mon lets drift
1119,21550,maplemusic
1120,21550,membran
1121,21550,caroline
1122,21730,mom & pop
1123,21684,neurot
1124,21727,moshi moshi
1125,21647,interscope
1126,21672,relapse
1127,21739,ivy league
1128,21614,trekkie trax
1129,21617,mello music group
1130,21591,drag city
1131,21646,sacred bones
1132,21692,chapter music
1133,21650,slumberland
1134,21640,relapse
1135,21590,ignition
1136,21590,first international
1137,21736,self-released
1138,21605,matador
1139,21670,numero group
1140,21753,no quarter
1141,21588,columbia
1142,21588,legacy
1143,21549,glorious dead
1144,21666,bar/none
1145,21632,light in the attic
1146,21606,halocline trance
1147,21509,astralwerks
1148,21631,thrill jockey
1149,21713,bruiser brigade
1150,21630,disposable america
1151,21630,gawk
1152,21616,styles upon styles
1153,21731,static shock
1154,21731,wilsuns rc
1155,21668,warp
1156,21711,awesome tapes from africa
1157,21658,sad cactus
1158,21612,erased tapes
1159,21563,domino
1160,21667,xl
1161,21644,merge
1162,21642,tough love
1163,21642,exploding in sound
1164,21642,brace yourself
1165,21691,4ad
1166,21586,loma vista
1167,21555,hyperdub
1168,21669,counter records
1169,21546,moniker
1170,21655,western vinyl
1171,21665,burger
1172,21706,def jam
1173,21443,b3sci
1174,21651,shake it
1175,21659,young art
1176,21705,top dawg entertainment
1177,21526,mom & pop
1178,21643,srfschl
1179,21486,grand jury
1180,21623,flying nun
1181,21623,ba da bing!
1182,21527,pias
1183,21527,moshi moshi
1184,21603,nacional
1185,21415,ribbon music
1186,21648,kiam
1187,21624,ghostly
1188,21575,emi
1189,21682,play it again sam
1190,21569,paper bag
1191,21534,rvng intl.
1192,21613,burnt toast vinyl
1193,21613,big scary monsters
1194,21561,legacy
1195,21574,pias
1196,21622,sub pop
1197,21512,friends of friends
1198,21610,20 buck spin
1199,21558,parlophone
1200,21585,software
1201,21583,polyvinyl
1202,21582,mello music group
1203,21661,2mr
1204,21663,4ad
1205,21573,alleviated
1206,21600,g.o.o.d. music
1207,21408,mexican summer
1208,21621,victor
1209,21510,saddle creek
1210,21604,fool's gold
1211,21567,mam
1212,21611,fade to mind
1213,21639,alligator
1214,21504,self-released
1215,21609,egghunt
1216,21453,club ac30
1217,21572,dfa
1218,21570,cantaloupe
1219,21412,interscope
1220,21412,dirty hit
1221,21544,motown
1222,21619,domino
1223,21435,smalltown supersound
1224,21657,self-released
1225,21548,legacy
1226,21607,hot
1227,21607,vagrant
1228,21560,bloodshot
1229,21608,sick wid it
1230,21620,help yourself
1231,21439,atlantic
1232,21602,epic
1233,21638,self-released
1234,21452,dine alone
1235,21559,border community
1236,21601,american
1237,21601,hollywood
1238,21470,duophonic
1239,21466,carpark
1240,21545,deathwish
1241,21571,planet mu
1242,21571,timesig
1243,21339,rough trade
1244,21339,caldo verde
1245,21557,burger
1246,21523,barsuk
1247,21414,rvng intl.
1248,21467,drag city
1249,21599,captured tracks
1250,21017,thrill jockey
1251,21568,anti-
1252,21495,island
1253,21508,suicide squeeze
1254,21580,!k7
1255,21525,merge
1256,21566,western vinyl
1257,21533,tri angle
1258,21564,moraine music group
1259,21333,domino
1260,21398,golf channel
1261,21465,sub pop
1262,21556,nonesuch
1263,21581,self-released
1264,21542,def jam
1265,21542,g.o.o.d. music
1266,21543,spiritual pajamas
1267,21494,international feel
1268,21419,new amsterdam
1269,21524,battleground
1270,21565,atlantic
1271,21598,self-released
1272,21492,broken world media
1273,21492,standard brickhouse
1274,21531,exploding in sound
1275,21493,smallville
1276,21578,epic
1277,21578,free bandz
1278,21522,sad cactus
1279,21532,all city
1280,21468,cooking vinyl
1281,21468,thirty tigers
1282,21577,driftless
1283,21410,universal
1284,21507,run for cover
1285,21554,self-released
1286,21529,the ajna offensive
1287,21413,third man
1288,21579,atlantic
1289,21579,300 entertainment
1290,21511,vagrant
1291,21530,r&s
1292,21463,blue note
1293,21521,sony
1294,21521,sign of the times
1295,21514,domino
1296,21520,self-released
1297,21485,captured tracks
1298,21515,on-u sound
1299,21516,dfa
1300,21553,virgin
1301,21553,emi
1302,21409,virgin
1303,21482,ba da bing!
1304,21451,paradise of bachelors
1305,21539,r&s
1306,21287,atlantic
1307,21287,bread winners' association
1308,21513,city slang
1309,21552,loma vista
1310,21464,rad cult
1311,21484,bloodshot
1312,21499,cherry red
1313,21502,atlantic
1314,21541,self-released
1315,21469,king creative
1316,21528,pow recordings
1317,21462,captured tracks
1318,21506,warner bros.
1319,21506,ovo sound
1320,21483,memphis industries
1321,21498,relapse
1322,21519,other people
1323,21540,roc nation
1324,21540,westbury road
1325,21472,highway 20
1326,21517,fader
1327,21459,polydor
1328,21459,outsiders
1329,21437,on-u sound
1330,21480,quality control
1331,21471,fat possum
1332,21450,dynamic tension
1333,21382,merge
1334,21456,house of mythology
1335,21481,rca
1336,21461,light in the attic
1337,21479,bella union
1338,21433,superball music
1339,21489,run for cover
1340,21384,vagrant
1341,21384,bmg
1342,21384,infectious
1343,21449,ipecac
1344,21335,tri angle
1345,21383,woodsist
1346,21396,jazzy couscous
1347,21396,les disques mystiques
1348,21460,columbia
1349,21310,city slang
1350,21407,light in the attic
1351,21381,gqom oh!
1352,21444,captured tracks
1353,21497,matador
1354,21441,sub pop
1355,21473,drag city
1356,21445,double double whammy
1357,21438,sacred bones
1358,21487,rca
1359,21476,rca
1360,21478,rca
1361,21477,rca
1362,21488,rca
1363,21496,free bandz
1364,21442,linear labs
1365,21448,self-released
1366,21457,gangsta grillz
1367,21440,felder
1368,21440,dilly recordz
1369,21475,columbia
1370,21380,frenchkiss
