,reviewid,artist
224,22549,david crosby
225,22545,jojo
226,22546,n.m.o.
227,22526,american football
228,22529,sleaford mods
229,22500,jubilee
230,22548,crying
231,22524,lady gaga
232,22324,tanya tagaq
233,22442,oval
234,22516,jonathan finlayson & sicilian defense
235,22514,leonard cohen
236,22542,male bonding
237,22454,savoy motel
238,22436,oozing wound
239,22377,from indian lakes
240,22291,ramones
241,22378,jimmy eat world
242,22541,various artists
243,22503,meshuggah
244,22479,axis: sova
245,22522,gucci mane
246,22515,moby & the void pacific choir
247,22530,kag
248,22507,gods wisdom
249,22521,kings of leon
250,22512,katie gately
251,22508,jagwar ma
252,22509,matt kivel
253,22463,weyes blood
254,22513,boogie
255,22412,powell
256,22504,wife
257,22389,nxworries
258,22499,regina spektor
259,22495,darkthrone
260,22461,mark ernestus' ndagga rhythm force
261,22494,jamie lidell
262,22440,terry allen
263,22496,mono
264,22497,wadada leo smith
265,22458,warehouse
266,22308,randy newman
267,22390,the orb
268,22511,lizzo
269,22493,marie davidson
270,22339,purling hiss
271,22490,johnny jewel
272,22404,the shaggs
273,22372,pat thomas
274,22411,dusky
275,22348,big star
276,22391,swet shop boys
277,22410,youandewan
278,22492,emma ruth rundle
279,22488,conor oberst
280,22477,joyce manor
281,22489,banks
282,22438,dva [hi:emotions]
283,22323,hiss golden messenger
284,22307,norah jones
285,22486,g perico
286,22478,brookzill!
287,22474,green day
288,22450,goat
289,22449,mv & ee
290,22460,gatecreeper
291,22439,candiria
292,22253,janet jackson
293,22318,oasis
294,22445,helado negro
295,22484,dj mustard
296,22466,opeth
297,22429,moses sumney
298,22451,phish
299,22471,phantogram
300,22470,the caretaker
301,22437,pixies
302,22475,francis and the lights
303,22476,neurosis
304,22472,yves tumor
305,22482,solange
306,22376,balance and composure
307,22459,supersilent
308,22375,bruce haack
309,22314,jenny hval
310,22362,jack rose
311,22435,lusa maita
312,22373,oathbreaker
313,22447,aaron abernathy
314,22468,danny brown
315,22446,innanet james
316,22299,darcy james argue's secret society
317,22434,masayoshi fujita
318,22434,jan jelinek
319,22292,guided by voices
320,22368,bob weir
321,22430,s u r v i v e
322,22346,steve reich
323,22388,carl stone
324,22420,bon iver
325,22298,mike & rich
326,22304,thomas brinkmann
327,22425,psychic tv
328,22444,nicolas jaar
329,22426,warpaint
330,22424,moor mother
331,22315,blonde redhead
332,22431,mick jenkins
333,22443,ty dolla $ign
334,22432,flock of dimes
335,22427,lvl up
336,22423,devendra banhart
337,22387,machinedrum
338,22146,chinx
339,22386,itasca
340,22416,how to dress well
341,22134,fleetwood mac
342,22422,merchandise
343,22370,beach slang
344,22400,alunageorge
345,22045,erykah badu
346,22419,against me!
347,22428,the gaslamp killer
348,22406,crooked man
349,22369,eola
350,22313,hamilton leithauser
351,22313,rostam
352,22405,local natives
353,22302,biosphere
354,22399,mykki blanco
355,22409,bruce springsteen
356,22421,die antwoord
357,22385,dyke drama
358,22384,a tribe called red
359,22418,usher
360,22326,pallbearer
361,22366,kool keith
362,22367,randy newman
363,22402,led zeppelin
364,22382,various artists
365,22383,grumbling fur
366,22408,croatian amor
367,22407,preoccupations
368,22312,robert glasper experiment
369,22381,mndsgn
370,22357,sumerlands
371,22061,brian eno
372,22293,mac miller
373,22310,julius eastman
374,22398,bryce dessner
375,22398,aaron dessner
376,22403,dj fresh
377,22403,ezale
378,22397,cymbals eat guitars
379,22359,touch amor
380,22365,silver apples
381,22358,matthew shipp
382,22358,bobby kapp
383,22300,kaitlyn aurelia smith
384,22300,suzanne ciani
385,22335,fudge
386,22379,wrekmeister harmonies
387,22360,tim presley
388,22336,nick cave & the bad seeds
389,22283,manuel gttsching
390,22303,cristian vogel
391,22306,el perro del mar
392,22396,m.i.a.
393,22343,neil young
394,22305,jhann jhannsson
395,22238,various artists
396,22350,jack white
397,22356,steve buscemi
398,22356,elliott sharp
399,22112,alpha 606
400,22309,adam torres
401,22345,vox clamantis
402,22255,caetano veloso
403,22327,angelo badalamenti
404,22288,okkervil river
405,22364,banks & steelz
406,22380,lisa/liza
407,22355,wilco
408,22289,daniel lanois
409,22290,drugdealer
410,22330,james vincent mcmorrow
411,22361,travis scott
412,22284,p.s. eliot
413,22354,carly rae jepsen
414,22351,inc. no world
415,22363,isaiah rashad
416,22281,eluvium
417,22342,circle
418,22352,bibio
419,22322,zomby
420,22287,teenage fanclub
421,22344,clipping.
422,22286,yohuna
423,22212,terry riley
424,22353,de la soul
425,22349,mekons
426,22337,nots
427,21989,d.a.r.k.
428,22282,angel olsen
429,22332,junior boys
430,22333,serpentwithfeet
431,22277,william basinski
432,22329,young thug
433,22338,prince
434,22341,soundwalk collective
435,22341,patti smith
436,22341,jesse paris smith
437,22271,funk factory
438,22319,prophets of rage
439,22331,the beach boys
440,22325,jon hopkins
441,22320,the dead c
442,22296,vince staples
443,22243,crystal castles
444,22328,porches
445,22279,nathan bowles
446,22256,cass mccombs
447,22340,gucci mane
448,22340,zaytoven
449,22251,subrosa
450,22257,motion graphics
451,22132,the roots
452,22254,katy goodman
453,22254,greta morgan
454,22252,kornl kovcs
455,22260,controlled bleeding
456,22321,cassius
457,22280,red pill
458,22231,feral
459,22311,carl broemel
460,22295,frank ocean
461,22285,various artists
462,22249,peter broderick
463,22258,battle trance
464,22211,tory lanez
465,22223,brendan canning
466,22276,charlotte day wilson
467,22237,tokyo black star
468,22273,sharon jones and the dap-kings
469,22274,tree
470,22241,mild high club
471,22233,marielle v. jakobsons
472,22248,scott walker
473,22236,scott hirsch
474,22242,morgan delt
475,22239,steve lehman
476,22239,slbyone
477,22174,stevie wonder
478,22267,ka
479,22270,atticus ross
480,22270,leopold ross
481,22270,bobby krlic
482,22230,jefre cantu-ledesma
483,22169,rattle
484,22246,dj earl
485,22272,sonic youth
486,22227,various artists
487,22228,the grifters
488,22245,gonjasufi
489,22210,atmosphere
490,22264,fury
491,22263,hockey dad
492,22265,kyle dixon
493,22265,michael stein
494,22261,kool a.d.
495,22234,lexxi
496,22226,alex cameron
497,22262,various artists
498,22193,partynextdoor
499,22244,pill
500,22217,mal devisa
501,22232,lando chill
502,22020,rae sremmurd
503,22215,slow club
504,22225,roosevelt
505,22220,various artists
506,22131,pj harvey
507,22221,2 chainz
508,22247,the chills
509,22198,ryley walker
510,22214,the 7th plain
511,22185,thee oh sees
512,22207,toro y moi
513,22189,factory floor
514,22240,themind
515,22150,of montreal
516,22197,dj snake
517,22213,elvis presley
518,22208,roman flgel
519,22202,various artists
520,22219,m. geddes gengras
521,22206,jon bap
522,22151,katie dey
523,22137,various artists
524,22200,various artists
525,22216,zhu
526,22209,tobacco
527,22170,kllo
528,22139,wild beasts
529,22218,noname
530,22182,michal turtle
531,22203,cluster ensemble
532,22044,michael jackson
533,22186,sunny day real estate
534,22204,cam & china
535,22188,nels cline
536,22205,panopticon
537,22191,dj khaled
538,22199,trim
539,22195,delia derbyshire
540,22195,elsa stansfield
541,22148,rival consoles
542,22196,descendents
543,22201,lil uzi vert
544,22187,haley bonar
545,22179,blowout
546,22149,dinosaur jr.
547,22152,delroy edwards
548,22192,thunder tillman
549,22165,cheena
550,22163,nao
551,22143,steve aoki
552,22183,shy layers
553,22178,owen
554,22168,titus andronicus
555,22145,hieroglyphic being
556,22142,meshuggah
557,22184,metronome
558,22162,mary lattimore
559,22162,jeff zeigler
560,22107,red hot chili peppers
561,22159,nina simone
562,22118,various artists
563,22194,no joy
564,22133,psalm zero
565,22173,elza soares
566,22113,william s. burroughs
567,22190,stwo
568,22172,frankie reyes
569,22180,jeremih
570,22136,lil durk
571,22181,lori mckenna
572,22130,tristan perich
573,22177,lil yachty
574,22147,russian circles
575,22175,florian kupfer
576,22129,hammers of misfortune
577,22157,gucci mane
578,22128,gap dream
579,22160,shy glizzy
580,22098,big business
581,22167,snoop dogg
582,22171,blu
583,22171,nottz
584,21886,michael kiwanuka
585,22154,notekillers
586,22166,various artists
587,22043,de la soul
588,22161,21 savage
589,22161,metro boomin
590,22123,wymond miles
591,22144,the amazing
592,22176,jherek bischoff
593,22119,floating points
594,22121,z-ro
595,22126,various artists
596,22158,pauline oliveros
597,22156,jamila woods
598,22135,dreezy
599,22106,max romeo
600,22140,johnny foreigner
601,22120,ian william craig
602,22110,abra
603,22138,towkio
604,22127,wreck and reference
605,22109,badbadnotgood
606,22117,mstrkrft
607,22125,pylon
608,22155,wolfgang tillmans
609,22101,clams casino
610,22103,elysia crampton
611,22116,camp cope
612,22124,shackleton
613,22087,konx-om-pax
614,21924,fleetwood mac
615,22073,the julie ruin
616,22141,migos
617,22062,mark barrott
618,22108,various artists
619,22075,shura
620,22111,betty davis
621,22122,kel valhaal
622,22105,jackmaster
623,22094,schoolboy q
624,22090,darkstar
625,22064,trust punks
626,22102,tangents
627,22093,arca
628,22100,lindstrm
629,22095,martha
630,22114,john roberts
631,22057,maxwell
632,22097,kelsey lu
633,22088,eric copeland
634,22099,gone is gone
635,21895,vivien goldman
636,22085,risn murphy
637,22071,araabmuzik
638,22059,gggs
639,22104,roy wood$
640,22035,lauryn hill
641,22060,metronomy
642,22092,scharpling & wurster
643,22016,marisa anderson
644,22026,steven julien
645,22065,the avalanches
646,22091,nite-funk
647,22086,nils frahm
648,22086,woodkid
649,22015,gojira
650,22072,aphex twin
651,22074,inter arma
652,22089,the game
653,22027,hot hot heat
654,22080,blink-182
655,22083,magic!
656,21883,weaves
657,22076,egisto macchi
658,22067,bat for lashes
659,22084,mick harvey
660,22069,alice bag
661,22056,stephen steinbrink
662,22054,pulp
663,22079,desiigner
664,22081,nice as fuck
665,22063,look mexico
666,22082,sunpath
667,22077,future
668,22077,dj esco
669,22078,james ferraro
670,22066,puro instinct
671,22022,david toop
672,22052,blood orange
673,22070,river tiber
674,22029,lets eat grandma
675,22021,lungfish
676,22030,jim orourke
677,22030,fennesz
678,22013,deerhoof
679,21969,told slant
680,22001,amy klein
681,22055,bruce springsteen
682,22041,blut aus nord
683,22041,vangelist
684,22068,caveman
685,22042,bjarki
686,22039,suicide
687,21985,the avett brothers
688,22018,delorean
689,22058,yumi zouma
690,21968,jay arner
691,22053,neil young
692,22019,dj shadow
693,22014,grace jones
694,22038,john cage
695,22038,sun ra
696,22007,allen toussaint
697,22050,g.l.o.s.s.
698,21719,laura mvula
699,22012,odonis odonis
700,22032,saqqara mastabas
701,22049,disclosure
702,22048,wye oak
703,22017,sui zhen
704,22005,the gotobeds
705,21970,mitski
706,22036,bishop nehru
707,21971,brigid mae power
708,21979,rlyr
709,21994,swans
710,21988,yg
711,21984,todd terje
712,21984,the olsens
713,22000,ro james
714,21992,red hot chili peppers
715,22010,palmistry
716,22011,will butler
717,22034,vatican shadow
718,21951,weval
719,22037,george harrison
720,22024,case/lang/veirs
721,21884,yung
722,22046,kodak black
723,21982,nails
724,21973,neil young
725,21726,jake bugg
726,22033,the fall
727,21991,audion
728,22004,van morrison
729,22040,nick jonas
730,21974,nite jewel
731,22008,laraaji
732,22008,sun araw
733,22006,waxahatchee
734,21972,dan lissvik
735,22031,mozzy
736,21945,diarrhea planet
737,21995,band of horses
738,21965,the temper trap
739,21882,jackie lynn
740,22002,nate wooley
741,21990,air
742,21885,huerco s.
743,21967,plaid
744,21966,holger czukay
745,21889,sumac
746,21964,kate bush
747,21980,cornelius
748,21946,alexis taylor
749,21941,ladyhawke
750,21931,fear of men
751,21953,garbage
752,21987,speedy ortiz
753,21996,floorplan
754,21999,margaret glaspy
755,21998,vic mensa
756,21978,paul simon
757,21961,peter bjorn and john
758,21722,terry reid
759,21952,tegan and sara
760,21997,various artists
761,21872,mourn
762,21954,xenia rubinos
763,21986,the strokes
764,21962,the kills
765,21938,lone
766,21654,white zombie
767,21871,whitney
768,21828,big thief
769,21959,melvins
770,21977,moonface
771,21977,siinai
772,21981,payroll giovanni
773,21904,slum village
774,21873,steve gunn
775,21960,the wailers
776,21890,cough
777,21913,joey purp
778,21932,fifth harmony
779,21942,dm-funk
780,21937,seiho
781,21921,flume
782,21916,william tyler
783,21976,die antwoord
784,21915,jank
785,21944,mark kozelek
786,21723,holy fuck
787,21958,sepalcure
788,21975,angry angles
789,21957,kevin gates
790,21917,beth orton
791,21943,minor victories
792,21910,angel du$t
793,21956,daniel romano
794,21891,kristin kontrol
795,21718,pup
796,21922,olga bell
797,21786,rebolledo
798,21950,autechre
799,21821,robert glasper
800,21821,miles davis
801,21947,classixx
802,21934,africans with mainframes
803,21675,the hotelier
804,21940,the underachievers
805,21933,allen ginsberg
806,21949,debo band
807,21948,wolf parade
808,21955,islands
809,21536,various artists
810,21936,adult jazz
811,21892,ariana grande
812,21874,gold panda
813,21584,steve reich
814,21880,mock orange
815,21896,david bowie
816,21923,dawn richard
817,21929,so so glos
818,21914,terry allen
819,21939,bob dylan
820,21926,pantha du prince
821,21893,rhys chatham
822,21868,eagulls
823,21920,christian naujoks
824,21864,marissa nadler
825,21894,richard ashcroft
826,21935,adia victoria
827,21721,carla bley
828,21673,car seat headrest
829,21928,post malone
830,21898,head wound city
831,21875,tim heidecker
832,21771,various artists
833,21725,mutual benefit
834,21912,torn hawk
835,21865,oscar
836,21802,jessy lanza
837,21676,nothing
838,21887,a giant dog
839,21919,shit robot
840,21909,chance the rapper
841,21700,summer cannibals
842,21911,jameszoo
843,21869,pinkshinyultrablast
844,21918,miles davis
845,21677,modern baseball
846,21818,kvelertak
847,21784,arbor labor union
848,21862,hooded fang
849,21901,ryan adams
850,21858,skepta
851,21900,corinne bailey rae
852,21877,thomas cohen
853,21899,kaytranada
854,21785,mark pritchard
855,21724,twin peaks
856,21908,bacao rhythm & steel band
857,21879,death grips
858,21876,jean-michel jarre
859,21820,pita
860,21859,seratones
861,21907,radiohead
862,21888,luh
863,21678,gregory porter
864,21878,mary chapin carpenter
865,21906,james blake
866,21861,little scream
867,21863,homeboy sandman
868,21852,fog
869,21782,julianna barwick
870,21783,helado negro
871,21855,meyhem lauren
872,21720,chris cohen
873,21817,jack dejohnette
874,21817,ravi coltrane
875,21817,matthew garrison
876,21701,cluster
877,21854,various artists
878,21856,britta phillips
879,21905,mo troper
880,21849,white lung
881,21860,various artists
882,21645,vektor
883,21857,big black delta
884,21819,anohni
885,21794,pity sex
886,21810,various artists
887,21815,hurry
888,21687,aesop rock
889,21804,egyptian lover
890,21853,king gizzard & the lizard wizard
891,21851,operators
892,21848,katy b
893,21653,various artists
894,21813,holy ghost!
895,21903,yoni & geti
896,21816,lush
897,21836,drake
898,21835,various artists
899,21850,anna wise
900,21801,alarm will sound
901,21845,prince
902,21842,prince
903,21844,prince
904,21844,the revolution
905,21846,prince
906,21846,the new power generation
907,21841,prince
908,21841,the revolution
909,21866,prince
910,21843,prince
911,21847,prince
912,21847,the revolution
913,21715,wire
914,21839,dej loaf
915,21637,dlek
916,21781,horse lords
917,21743,brian eno
918,21806,ensemble dal niente
919,21806,deerhoof
920,21834,susanna
921,21825,audio push
922,21867,beyonc
923,21826,a$ap ferg
924,21838,cullen omori
925,21837,antwon
926,21833,andy stott
927,21797,etta james
928,21762,ulver
929,21717,kyle craft
930,21814,rogue wave
931,21694,john carpenter
932,21799,bill evans
933,21840,dj quik
934,21840,problem
935,21744,plants and animals
936,21714,jay reatard
937,21696,konono n1
938,21696,batida
939,21832,primitive weapons
940,21827,sorority noise
941,21808,guided by voices
942,21807,arthur russell
943,21792,cellars
944,21695,lawrence
945,21709,j dilla
946,21778,carlos nio & friends
947,21708,various artists
948,21809,various artists
949,21758,sturgill simpson
950,21791,lush
951,21699,dave harrington group
952,21831,toyomu
953,21822,deakin
954,21800,sam beam & jesca hoop
955,21733,bleached
956,21729,mr. lif
957,21824,tunji ige
958,21681,kevin morby
959,21680,colin stetson
960,21829,royce 59
961,21636,cate le bon
962,21703,tyler friedman
963,21703,samuel rohrer
964,21698,pj harvey
965,21749,xiu xiu
966,21697,eskimeaux
967,21742,ben watt
968,21780,peder mannerfelt
969,21755,metallica
970,21688,niki and the dove
971,21812,kweku collins
972,21716,greys
973,21732,youth code
974,21547,deftones
975,21562,kaitlyn aurelia smith
976,21811,into it. over it.
977,21770,gallant
978,21752,dinner
979,21769,m83
980,21690,dj rashad
981,21679,frightened rabbit
982,21803,k. michelle
983,21693,bombino
984,21597,parquet courts
985,21748,mogwai
986,21767,terrace martin
987,21594,tacocat
988,21704,"trd, grs och stenar"
989,21635,tim hecker
990,21796,death grips
991,21750,woods
992,21805,twenty88
993,21587,flying saucer attack
994,21775,grimes
995,21766,ash koosha
996,21751,andrew bird
997,21728,teen suicide
998,21674,henry threadgill
999,21674,ensemble double-up
1000,21756,dvsn
1001,21768,yeasayer
1002,21596,the last shadow puppets
1003,21747,autolux
1004,21776,bob mould
1005,21628,the field
1006,21627,leon vynehall
1007,21576,pet shop boys
1008,21633,tombs
1009,21757,com truise
1010,21765,frankie cosmos
1011,21779,eric bachmann
1012,21741,black milk & nat turner
1013,21626,nisennenmondai
1014,21777,glenn jones
1015,21790,azealia banks
1016,21763,charles bradley
1017,21595,black mountain
1018,21538,mike and the melvins
1019,21537,the monochrome set
1020,21593,weezer
1021,21789,young thug
1022,21551,bibio
1023,21660,laura gibson
1024,21710,elliphant
1025,21764,zayn
1026,21754,moderat
1027,21788,ramriddlz
1028,21629,japanese breakfast
1029,21652,brad fiedel
1030,21686,explosions in the sky
1031,21761,rjd2
1032,21740,domo genesis
1033,21535,anthony braxton
1034,21746,public memory
1035,21656,larry levan
1036,21685,cobalt
1037,21625,studio ost
1038,21702,babyfather
1039,21641,masami akita & eiko ishibashi
1040,21712,kamaiyah
1041,21759,the thermals
1042,21664,father
1043,21745,margo price
1044,21737,amnesia scanner
1045,21518,vijay iyer
1046,21518,wadada leo smith
1047,21683,charli xcx
1048,21738,baauer
1049,21773,boosie badazz
1050,21615,starchild & the new romantic
1051,21707,ilovemakonnen
1052,21550,the joy formidable
1053,21730,lucius
1054,21684,the body
1055,21684,full of hell
1056,21727,kiran leonard
1057,21647,gwen stefani
1058,21672,boris
1059,21672,merzbow
1060,21739,rolling blackouts coastal fever
1061,21614,various artists
1062,21617,open mike eagle & paul white
1063,21591,bonnie prince billy
1064,21591,bitchin bajas
1065,21646,lust for youth
1066,21692,the goon sax
1067,21650,bent shapes
1068,21640,gadget
1069,21590,primal scream
1070,21736,lil yachty
1071,21605,hlos
1072,21670,various artists
1073,21753,chris forsyth and the solar motel band
1074,21588,jeff buckley
1075,21549,flatbush zombies
1076,21666,the feelies
1077,21632,lifetones
1078,21606,ceramic tl
1079,21509,underworld
1080,21631,the body
1081,21713,zelooperz
1082,21630,horse jumper of love
1083,21616,zach cooper
1084,21731,sheer mag
1085,21668,clark
1086,21711,dj katapila
1087,21658,fake boyfriend
1088,21612,immix ensemble & vessel
1089,21563,the range
1090,21667,lpsley
1091,21644,m. ward
1092,21642,big ups
1093,21691,methyl ethel
1094,21586,iggy pop
1095,21555,fatima al qadiri
1096,21669,tiga
1097,21546,jealousy
1098,21655,carter tanton
1099,21665,glitterbust
1100,21706,lil wayne
1101,21706,2 chainz
1102,21443,the big pink
1103,21651,wussy
1104,21659,tokimonsta
1105,21705,kendrick lamar
1106,21526,polia
1107,21643,smoke dza
1108,21486,mothers
1109,21623,kane strang
1110,21527,anna meredith
1111,21603,el guincho
1112,21415,thao & the get down stay down
1113,21648,jennifer o'connor
1114,21624,mary lattimore
1115,21575,esperanza spalding
1116,21682,soulwax
1117,21569,sarah neufeld
1118,21534,mikael seifu
1119,21613,yndi halda
1120,21561,loretta lynn
1121,21574,violent femmes
1122,21622,heron oblivion
1123,21512,anenon
1124,21610,oranssi pazuzu
1125,21558,david bowie
1126,21585,thug entrancer
1127,21583,la sera
1128,21582,quelle chris
1129,21661,kedr livanskiy
1130,21663,lnzndrf
1131,21573,mr. fingers
1132,21600,hxlt
1133,21408,quilt
1134,21621,especia
1135,21510,hop along
1136,21604,rome fortune
1137,21567,yuck
1138,21611,na
1139,21639,various artists
1140,21504,macklemore
1141,21504,ryan lewis
1142,21609,lucy dacus
1143,21453,pinkshinyultrablast
1144,21572,guerilla toss
1145,21570,glenn kotche
1146,21570,so percussion
1147,21412,the 1975
1148,21544,bj the chicago kid
1149,21619,john cale
1150,21435,prins thomas
1151,21657,french montana
1152,21548,michael jackson
1153,21607,various artists
1154,21560,waco brothers
1155,21608,amthst
1156,21620,crater
1157,21439,santigold
1158,21602,yo gotti
1159,21638,the snails
1160,21452,the dirty nil
1161,21559,james holden
1162,21559,luke abbott
1163,21601,various artists
1164,21470,cavern of anti-matter
1165,21466,teen
1166,21545,death index
1167,21571,venetian snares
1168,21339,jesu
1169,21339,sun kil moon
1170,21557,seth bogart
1171,21523,ra ra riot
1172,21414,anna homler
1173,21414,steve moshier
1174,21467,rangda
1175,21599,wild nothing
1176,21017,matmos
1177,21568,mavis staples
1178,21495,jack garratt
1179,21508,michael nau
1180,21580,moodymann
1181,21525,mount moriah
1182,21566,lushlife
1183,21533,brood ma
1184,21564,benny hester
1185,21333,animal collective
1186,21398,africaine 808
1187,21465,so pitted
1188,21556,rokia traor
1189,21581,why khaliq
1190,21542,kanye west
1191,21543,the skiffle players
1192,21494,cfcf
1193,21419,daniel wohl
1194,21524,eight bells
1195,21565,wiz khalifa
1196,21598,boosie badazz
1197,21492,sioux falls
1198,21531,two inch astronaut
1199,21493,moomin
1200,21578,future
1201,21522,abi reimold
1202,21532,knxwledge
1203,21468,lissie
1204,21577,matt kivel
1205,21410,elliott smith
1206,21507,pinegrove
1207,21554,sicko mobb
1208,21529,aluk todolo
1209,21413,various artists
1210,21579,young thug
1211,21511,school of seven bells
1212,21530,nonkeen
1213,21463,gogo penguin
1214,21521,foxes
1215,21514,porches
1216,21520,vic spencer
1217,21520,chris crack
1218,21485,milk n cookies
1219,21515,jeb loy nichols
1220,21516,essaie pas
1221,21553,massive attack
1222,21409,eric prydz
1223,21482,cross record
1224,21451,nap eyes
1225,21539,alex smoke
1226,21287,kevin gates
1227,21513,junior boys
1228,21552,djds
1229,21464,black moth super rainbow
1230,21484,freakwater
1231,21499,various artists
1232,21502,charlie puth
1233,21541,2 chainz
1234,21469,king
1235,21528,chester watson
1236,21462,diiv
1237,21506,majid jordan
1238,21483,field music
1239,21498,black tusk
1240,21519,a pleasure
1241,21540,rihanna
1242,21472,lucinda williams
1243,21517,saul williams
1244,21459,lion babe
1245,21437,african head charge
1246,21480,migos
1247,21471,sunflower bean
1248,21450,surgeon
1249,21382,benji hughes
1250,21456,ulver
1251,21481,sia
1252,21461,lee hazlewood
1253,21479,money
1254,21433,conrad keely
1255,21489,basement
1256,21384,bloc party
1257,21449,nevermen
1258,21335,roly porter
1259,21383,cian nugent
1260,21396,various artists
1261,21460,wet
1262,21310,tindersticks
1263,21407,this heat
1264,21381,various artists
1265,21444,charlie hilton
1266,21497,majical cloudz
1267,21441,shearwater
1268,21473,bonnie prince billy
1269,21445,florist
1270,21438,pop. 1280
1271,21487,david bowie
1272,21476,david bowie
1273,21478,david bowie
1274,21477,david bowie
